t,x,y
0.06277908303309232,-2.4891650251628943,6.675040976518292
0.09048341598827392,-1.6877680187971384,6.143263256559019
0.12819970806594938,-1.9258259481802187,5.880380890844327
0.15971245802938938,-1.640403597460781,5.818417461983334
0.1902682080399245,-2.724574595241738,6.197869635961978
0.2254441250115633,-2.736650927560172,6.6797919334082465
0.25667358306236565,-2.507200894538532,7.067922588606143
0.2908227910520509,-2.3759929033133638,7.316431915109118
0.32421875,-3.017213393887536,8.324134164218158
0.3574860830558464,-3.5154292514367773,8.056164913439089
0.3916764580644667,-3.2688167238535764,8.67278758070811
0.4236880410462618,-3.2403092122668813,8.95353052472871
0.45821591606363654,-3.9533419554566276,8.6264552121477
0.4923266660189256,-3.4154416260638474,8.36769003621558
0.5235822079703212,-4.177447903203394,7.853926589970289
0.5572649580426514,-4.41606559635692,8.36815050598941
0.590023041004315,-4.53364087463844,8.112560898984889
0.6246372080640867,-4.73686710659331,6.937658062006404
0.658470332971774,-4.801127446499926,7.60945076228405
0.6914409580640495,-5.696176326025404,8.351865953124092
0.7250831660348922,-4.959838734553481,8.910879563057792
0.7586739159887657,-3.7028404434020405,7.816152531119014
0.7910601659677923,-3.469595197413893,7.912288344768258
0.8240823750384152,-3.0484536262185853,7.257201479023256
0.8572099580196664,-3.5515721272340066,7.671315314214308
0.8915764159755781,-3.2525745266393233,7.61022401876243
0.9241497500333935,-3.9616983158780235,8.37856797076368
0.9570956249954179,-3.667347824869821,7.619920233885848
0.9905776249943301,-3.5196178466934103,7.534649680735681
