frame_index,timestamp_s,gaze_x_deg,gaze_y_deg,pupil_size,pupil_unit,fps_estimate_hz,quality_face_detected,quality_pupil_proxy_relative
1,0.06277908303309232,-2.4891650251628943,6.675040976518292,0.5026898514500775,relative,15.928872351844907,1.0,1.0
2,0.09048341598827392,-1.6877680187971384,6.143263256559019,0.5052239339679281,relative,22.103497952146142,1.0,1.0
3,0.12819970806594938,-1.9258259481802187,5.880380890844327,0.5176240441743349,relative,23.400989325628725,1.0,1.0
4,0.15971245802938938,-1.640403597460781,5.818417461983334,0.5281373761821232,relative,25.04500932083797,1.0,1.0
5,0.1902682080399245,-2.724574595241738,6.197869635961978,0.5314493311024779,relative,26.278693910602428,1.0,1.0
6,0.2254441250115633,-2.736650927560172,6.6797919334082465,0.528338594289869,relative,26.61413332324474,1.0,1.0
7,0.25667358306236565,-2.507200894538532,7.067922588606143,0.5315252653470649,relative,27.271992374451578,1.0,1.0
8,0.2908227910520509,-2.3759929033133638,7.316431915109118,0.5393723445987944,relative,27.508160454206546,1.0,1.0
9,0.32421875,-3.017213393887536,8.324134164218158,0.5384379679010668,relative,27.759036144578314,1.0,1.0
10,0.3574860830558464,-3.5154292514367773,8.056164913439089,0.5403617620428921,relative,27.97311692393296,1.0,1.0
11,0.3916764580644667,-3.2688167238535764,8.67278758070811,0.5278903167868422,relative,28.084404292150463,1.0,1.0
12,0.4236880410462618,-3.2403092122668813,8.95353052472871,0.524687585185627,relative,28.322725301301908,1.0,1.0
13,0.45821591606363654,-3.9533419554566276,8.6264552121477,0.5265157268652809,relative,28.370904510865078,1.0,1.0
14,0.4923266660189256,-3.4154416260638474,8.36769003621558,0.5286188137113079,relative,28.436404051008328,1.0,1.0
15,0.5235822079703212,-4.177447903203394,7.853926589970289,0.5184771387906058,relative,28.64879625713,1.0,1.0
16,0.5572649580426514,-4.41606559635692,8.36815050598941,0.5261466712974803,relative,28.711656401649083,1.0,1.0
17,0.590023041004315,-4.53364087463844,8.112560898984889,0.5343150664560736,relative,28.812434123018722,1.0,1.0
18,0.6246372080640867,-4.73686710659331,6.937658062006404,0.5219565322972627,relative,28.816727161974043,1.0,1.0
19,0.658470332971774,-4.801127446499926,7.60945076228405,0.5435770295972895,relative,28.854754798519455,1.0,1.0
20,0.6914409580640495,-5.696176326025404,8.351865953124092,0.531494497079041,relative,28.92510165437345,1.0,1.0
21,0.7250831660348922,-4.959838734553481,8.910879563057792,0.5369194959732455,relative,28.962194936669437,1.0,1.0
22,0.7586739159887657,-3.7028404434020405,7.816152531119014,0.5366821425360678,relative,28.997965445177865,1.0,1.0
23,0.7910601659677923,-3.469595197413893,7.912288344768258,0.5318620674584309,relative,29.074906043159853,1.0,1.0
24,0.8240823750384152,-3.0484536262185853,7.257201479023256,0.5296135077711167,relative,29.123302144256176,1.0,1.0
25,0.8572099580196664,-3.5515721272340066,7.671315314214308,0.5344065815353187,relative,29.164383551674096,1.0,1.0
26,0.8915764159755781,-3.2525745266393233,7.61022401876243,0.5405069817503063,relative,29.16183014054982,1.0,1.0
27,0.9241497500333935,-3.9616983158780235,8.37856797076368,0.5399343843908944,relative,29.21604426016928,1.0,1.0
28,0.9570956249954179,-3.667347824869821,7.619920233885848,0.5293742135421817,relative,29.255174998980955,1.0,1.0
29,0.9905776249943301,-3.5196178466934103,7.534649680735681,0.5361971578026685,relative,29.27584801864063,1.0,1.0
