t,size,unit
0.06277908303309232,0.5026898514500775,relative
0.09048341598827392,0.5052239339679281,relative
0.12819970806594938,0.5176240441743349,relative
0.15971245802938938,0.5281373761821232,relative
0.1902682080399245,0.5314493311024779,relative
0.2254441250115633,0.528338594289869,relative
0.25667358306236565,0.5315252653470649,relative
0.2908227910520509,0.5393723445987944,relative
0.32421875,0.5384379679010668,relative
0.3574860830558464,0.5403617620428921,relative
0.3916764580644667,0.5278903167868422,relative
0.4236880410462618,0.524687585185627,relative
0.45821591606363654,0.5265157268652809,relative
0.4923266660189256,0.5286188137113079,relative
0.5235822079703212,0.5184771387906058,relative
0.5572649580426514,0.5261466712974803,relative
0.590023041004315,0.5343150664560736,relative
0.6246372080640867,0.5219565322972627,relative
0.658470332971774,0.5435770295972895,relative
0.6914409580640495,0.531494497079041,relative
0.7250831660348922,0.5369194959732455,relative
0.7586739159887657,0.5366821425360678,relative
0.7910601659677923,0.5318620674584309,relative
0.8240823750384152,0.5296135077711167,relative
0.8572099580196664,0.5344065815353187,relative
0.8915764159755781,0.5405069817503063,relative
0.9241497500333935,0.5399343843908944,relative
0.9570956249954179,0.5293742135421817,relative
0.9905776249943301,0.5361971578026685,relative
