t,size,unit
4.429442125023343,0.5401887459681578,relative
4.46262674999889,0.44924287764586035,relative
4.493556207977235,0.46240936552494544,relative
4.5273353749653324,0.4581433257717462,relative
4.56180729100015,0.45082226507206546,relative
4.596060000010766,0.47385108150777255,relative
4.629321665968746,0.44754412317944614,relative
4.661950832931325,0.4719582154992142,relative
4.694365832954645,0.4577041427691657,relative
4.728171124937944,0.46263532292667064,relative
4.761727000004612,0.4584549944975869,relative
4.796250957995653,0.45612600426754724,relative
4.828581874957308,0.4427068427602052,relative
4.862628999981098,0.44932537557890634,relative
4.896684541017748,0.4344448293044978,relative
4.929798541008495,0.43600115854396104,relative
4.963333374937065,0.4388514010492828,relative
4.996600833022967,0.43020016679922934,relative
5.031079249922186,0.43581152308190824,relative
5.065208832966164,0.4259448443031652,relative
5.096920582931489,0.4371433885216417,relative
5.1308968749362975,0.44371553142675685,relative
5.163781665964052,0.4471682338137707,relative
5.197539582964964,0.434010837771011,relative
5.2303901659324765,0.45205320213489986,relative
5.264345332980156,0.43871578906014186,relative
5.2979488329729065,0.44517430473374897,relative
5.331779000000097,0.45865113914194566,relative
5.365078249946237,0.47884477464910336,relative
5.398673458024859,0.4805915403055878,relative
5.43179641594179,0.47608585469074705,relative
5.466286040958948,0.4782923280625162,relative
5.498527499963529,0.49105976614966373,relative
5.5324360829545185,0.48092886451078454,relative
5.56725966592785,0.4695165993959926,relative
5.601341582951136,0.4901388508829016,relative
5.633146540960297,0.5042563094709049,relative
5.66634662495926,0.5014401688768519,relative
5.699905124958605,0.5105258983026351,relative
5.733909624977969,0.5467994332609274,relative
5.766158957965672,0.5592395688169653,relative
5.800780790974386,0.6095076428142627,relative
5.833852290990762,0.5564853335251939,relative
5.8675042079994455,0.5491525944317907,relative
5.901718540932052,0.5276509188119303,relative
5.9344030829379335,0.5023605326877999,relative
5.968640915933065,0.4978795144923216,relative
6.001996999955736,0.4899769012611224,relative
6.034344375017099,0.49209564078897305,relative
6.069900749949738,0.49313637273472233,relative
6.103069040924311,0.4941808253417057,relative
6.136437790933996,0.4936376792682081,relative
6.172572790994309,0.5171754829457794,relative
6.203188290935941,0.5004484410806738,relative
6.23621658293996,0.4900995333028205,relative
6.270161374937743,0.48834195813174275,relative
6.304702249937691,0.47805419805746285,relative
6.3390382080106065,0.4869696559159604,relative
6.370110374991782,0.46959963669972116,relative
6.4039576249197125,0.4934663653170628,relative
6.438882665941492,0.4772553994373158,relative
6.471963457996026,0.4776406060392543,relative
6.504876208025962,0.4803781705097706,relative
6.540772625012323,0.4799223643074837,relative
6.571527124964632,0.47377299862454825,relative
6.603645832976326,0.46068138600043373,relative
6.63759116595611,0.474906224128069,relative
6.673836875008419,0.45947815304881806,relative
6.706237124977633,0.4684051158574285,relative
6.739722540951334,0.4957047910760175,relative
6.773001165944152,0.48522483734160854,relative
6.806728041032329,0.5045532185711007,relative
6.839866166003048,0.4697048831413374,relative
6.8731388750020415,0.443056863847602,relative
6.908669541007839,0.48552791013704794,relative
6.940232791006565,0.4815117017674853,relative
6.9784162499709055,0.4481588204580207,relative
7.013606374966912,0.4561587356777369,relative
7.044869540957734,0.45458560892296596,relative
7.074352415977046,0.4581586392955126,relative
7.106473707943223,0.4547715527480846,relative
7.141790083027445,0.4538743419016927,relative
7.174491124926135,0.4515297744825806,relative
7.2176929579582065,0.45036466099221684,relative
7.241363290930167,0.44395338592055456,relative
7.274947750032879,0.4402055485840395,relative
7.312119583017193,0.4373362933546951,relative
7.344360040966421,0.45061194700525764,relative
7.376882415963337,0.4516672293359097,relative
7.4104622500017285,0.44406378430847415,relative
7.443834624951705,0.4316345754878297,relative
7.479001957923174,0.43784811857815786,relative
7.51003441598732,0.42911775614673264,relative
7.54277679102961,0.4358845605463145,relative
7.57658479094971,0.43469630827899863,relative
7.609893125016242,0.43625961138731384,relative
7.642404375015758,0.4165786444633741,relative
7.676319582969882,0.43291051620869,relative
7.709225540980697,0.43338715692276136,relative
7.743511082953773,0.4438954070556198,relative
7.778616750030778,0.4401589954209202,relative
7.810350207961164,0.43056038293845245,relative
7.844847832922824,0.4458735983409573,relative
7.877670499961823,0.4486202260708464,relative
7.911725749960169,0.4342360838344434,relative
7.945479249930941,0.437391492427603,relative
7.977801040979102,0.43838870977400435,relative
8.01200745801907,0.44355945907066185,relative
8.045020082965493,0.4442778150146509,relative
8.080450332956389,0.4636930150094659,relative
8.11311808298342,0.47675160549103535,relative
8.14699312497396,0.4592571393771826,relative
8.179793791030534,0.47266832765698596,relative
8.21370045794174,0.4606344200083339,relative
8.246834582998417,0.44434864948358266,relative
8.28149708302226,0.4308830539475227,relative
8.315244875033386,0.42661467126997477,relative
8.34785216592718,0.45749411464859446,relative
8.516480291029438,0.43911652401273527,relative
8.548381833010353,0.42595140275341525,relative
8.581706707947887,0.44854073519147253,relative
8.61473395791836,0.44216393244386715,relative
8.648576374980621,0.4665358157586397,relative
8.682882874971256,0.47369623931348226,relative
8.7163098329911,0.47341670329309316,relative
8.74979345803149,0.45604253563350583,relative
8.783696749946102,0.44044430477272567,relative
8.817553874920122,0.4591247805395122,relative
8.91773991601076,0.5051394701734253,relative
8.950220332946628,0.5078702637964618,relative
8.983934541000053,0.4354812155015667,relative
9.01749816595111,0.42741111220611,relative
9.051202083006501,0.4347838341430616,relative
9.08432995795738,0.42714073134986,relative
9.118155707954429,0.4367525321317757,relative
9.151799999992363,0.48781701717879383,relative
9.18534708302468,0.45445193237602466,relative
9.21887737500947,0.45184227309838243,relative
9.25180783297401,0.42912007324320733,relative
9.287132082972676,0.4590525604989757,relative
9.354187040938996,0.4965702413831395,relative
9.386202791007236,0.46543653477491775,relative
9.420131790917367,0.4625725658194314,relative
9.454061915981583,0.43776598147468404,relative
9.486376540968195,0.438466479354575,relative
9.52013766602613,0.454073048870067,relative
9.555369957932271,0.45409752894389366,relative
9.589149457984604,0.48211926955851436,relative
9.627694166032597,0.47013069580358213,relative
9.660319500020705,0.47895798409421664,relative
9.688027875032276,0.48389083012747147,relative
9.720990124973468,0.4702878611117328,relative
9.755772082949989,0.47577580131659447,relative
9.794475374976173,0.47469519033585383,relative
9.828424207982607,0.44553848378207794,relative
9.86129504092969,0.4189268940378054,relative
9.88989925000351,0.4486301087462725,relative
9.922009415924549,0.44745582932443206,relative
10.258464833023027,0.5315916428855163,relative
10.290639915969223,0.5163948498707226,relative
10.323908415972255,0.48796562178120967,relative
10.358755790977739,0.46051417582342746,relative
10.392519249930046,0.4417385194755279,relative
10.425142457941547,0.4483653677040775,relative
10.459931958001107,0.4278277263727292,relative
10.493387082940899,0.43616615842843653,relative
10.527356415987015,0.4380632045368861,relative
10.560353040928021,0.43590125249518014,relative
10.599541999981739,0.4368986684113384,relative
10.631141833029687,0.4191193802553113,relative
10.66249858296942,0.42558620484998466,relative
10.692986791022122,0.4375659439060724,relative
10.726678790990263,0.4540988037605566,relative
10.761036791023798,0.46477717467425295,relative
10.796984290936962,0.4519406382868356,relative
10.82760108297225,0.46472678994185923,relative
10.86126112495549,0.44652344900263974,relative
10.90069170796778,0.48800248940602986,relative
10.934002624941058,0.46492746848756894,relative
10.963567290920764,0.4520575801896979,relative
10.994443082949147,0.4676753744896527,relative
11.26782679092139,0.5055467058136119,relative
11.297957415925339,0.5153714104198007,relative
