t,x,y
4.429442125023343,-5.223731251180076,11.817017235372308
4.46262674999889,-6.605794714239928,12.030671736757885
4.493556207977235,-6.449652529192282,11.980833579404486
4.5273353749653324,-4.828595711972593,10.979016205448913
4.56180729100015,-6.1060357814938735,12.713985570274502
4.596060000010766,-5.288565182357026,11.323831103057648
4.629321665968746,-6.048751327284824,12.461381529275734
4.661950832931325,-3.3642019206230938,12.816695934081393
4.694365832954645,-3.477669779522752,8.30574699602503
4.728171124937944,-2.04353604296991,7.169883251956531
4.761727000004612,-1.1757332275094694,6.08919857981085
4.796250957995653,-1.2940620379927417,6.48498638392206
4.828581874957308,-0.3507081629180391,4.79800268538598
4.862628999981098,-0.2178719364200019,4.854016500479053
4.896684541017748,0.4630811653525633,5.179984236232606
4.929798541008495,-0.13197517110264712,5.1273618675186174
4.963333374937065,0.17159168005944758,5.675686351252406
4.996600833022967,-0.1807800409942022,5.250039108156275
5.031079249922186,0.4397226920273636,5.527585439270509
5.065208832966164,-0.0369510523508334,5.248367422656377
5.096920582931489,0.17700263613181633,4.995083887857174
5.1308968749362975,0.321591993731693,5.945053231926378
5.163781665964052,0.9263401348881015,6.349209251621234
5.197539582964964,0.27697747919595517,5.334376400366362
5.2303901659324765,0.8217223273584695,6.279937578825148
5.264345332980156,0.6521816133631066,6.0914967724847155
5.2979488329729065,-0.05263180700123549,5.274214593800962
5.331779000000097,-1.9350404454109995,5.566821858821438
5.365078249946237,-3.2983407371991906,6.016481866228636
5.398673458024859,-3.9964655087844516,5.395325631697103
5.43179641594179,-3.4514074593769712,5.8666042149212885
5.466286040958948,-3.443950775084277,4.939422186064391
5.498527499963529,-3.3073489100483724,5.4611152554707
5.5324360829545185,-2.610334684705185,5.573736901106198
5.56725966592785,-1.9581481827519953,5.317943983484676
5.601341582951136,-2.199746222593771,4.556825424621922
5.633146540960297,-2.1433843990095305,5.205798011367023
5.66634662495926,-1.359021359967183,2.9391713425822488
5.699905124958605,1.0708558852377403,3.961628474666563
5.733909624977969,2.0027198577135232,3.820073768065574
